sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx
female,69,0.166546233,0.0069239150728242,0.006900000000000017,92216.60812512999,636.2945960633986,91898.46082709829,19.798914271545257,76593.118357847,15.441957487753884
female,70,0.169522757,0.00771972051521909,0.007689999999999975,91580.3135290666,704.2526110385198,91228.18722354734,18.933001985243433,75762.93340929942,14.712898133370288
female,71,0.172543162,0.00862710670051867,0.008589999999999987,90876.06091802807,780.62536328586,90485.748236385145,18.075850273849333,74873.05111974334,13.993221952181901
female,72,0.175597685,0.00968676558954386,0.009639999999999982,90095.43555474222,868.5199987477133,89661.17555536836,17.228134953096436,73916.88069346709,13.28342365045855
female,73,0.178474294,0.0109295100927265,0.010870000000000046,89226.9155559945,969.8965720936644,88741.96726994767,16.390963844557973,72903.80731327264,12.584307680658396
female,74,0.181169569,0.0123863956510493,0.012310000000000043,88257.01898390084,1086.4439036918232,87713.79703205492,15.565596882672624,71822.72622840405,11.896562602358141
female,75,0.184001212,0.0140786406095595,0.013979999999999992,87170.57508020902,1218.6446396213214,86561.25276039835,14.753365815865934,70633.8773402467,11.22090136850727
female,76,0.187307481,0.0160277610771973,0.015900000000000025,85951.93044058769,1366.6356940053465,85268.61259358501,13.955453049497917,69297.16356031573,10.55821019049856
female,77,0.191452803,0.0182454403413502,0.018079999999999985,84585.29474658234,1529.3021290182073,83820.64368207323,13.172851386543966,67772.94649987607,9.909540267274272
female,78,0.196695406,0.0208661926813849,0.020650000000000057,83055.99261756413,1715.106247552704,82198.43949378778,12.406195399364476,66030.38406499075,9.276012645567004
female,79,0.202879024,0.0239648774538323,0.023680000000000034,81340.88637001143,1926.1521892418734,80377.8102753905,11.657242456082582,64070.8385754621,8.659827611681273
female,80,0.209753853,0.0277001306422786,0.02732000000000001,79414.73418076956,2169.6105378186253,78329.92891186025,10.927854039743712,61899.924517381456,8.063078240778752
female,81,0.217036135,0.032151360017085,0.03164,77245.12364295094,2444.035712062968,76023.10578691946,10.220744787333667,59523.344736230334,7.488204605982205
female,82,0.224400009,0.0374630587332106,0.03676999999999997,74801.08793088798,2750.4360032187487,73425.8699292786,9.538358448648918,56949.10405631566,6.937117631176944
female,83,0.231903427,0.0437011352710986,0.04276000000000002,72050.65192766923,3080.8858764271376,70510.20898945566,8.883385534762121,54158.649886314684,6.411528966094785
female,84,0.239794185,0.0509565090008528,0.049679999999999946,68969.76605124208,3426.417977425703,67256.55706252923,8.257872147802143,51128.82577581404,5.912680516720494
female,85,0.247987731,0.0592405800442732,0.057520000000000016,65543.34807381638,3770.053381205919,63658.32138321342,7.663431420786832,47871.83870412154,5.4417019679319525
female,86,0.256386229,0.0685679617738711,0.06627000000000005,61773.294692610456,4093.716239279298,59726.43657297081,7.100619027233291,44413.40072841913,4.998851510682872
female,87,0.264877474,0.0791514383054377,0.07610000000000006,57679.57845333116,4389.415920298505,55484.87049318191,6.569087452725404,40788.17815173075,4.583634864452205
female,88,0.273470424,0.0911727507803141,0.08714,53290.16253303266,4643.704763128466,50968.310151468424,6.068987393360109,37029.98476378285,4.195782823429489
female,89,0.282237978,0.104838429746175,0.09953000000000034,48646.45776990419,4841.781941838581,46225.5667989849,5.600593073812094,33178.95629373547,3.83509863621564
female,90,0.291149824,0.120203462527601,0.11326000000000025,43804.67582806561,4961.317584286721,41324.01703592225,5.164367578944437,29292.53674894048,3.5015670052755468
female,91,0.300171769,0.137688593249704,0.12862999999999958,38843.35824377889,4996.421170897262,36345.14765833026,4.7601298903223475,25435.360391163056,3.194689553581013
female,92,0.30926561,0.157367514964551,0.14561000000000035,33846.93707288163,4928.4525071823055,31382.710819290478,4.3890022497014405,21677.11761430901,2.914801720575389
female,93,0.318344204,0.179545413847203,0.1643500000000001,28918.484565699324,4752.752938372687,26542.10809651298,4.051788117489018,18092.581822046603,2.6619649666303906
female,94,0.327412283,0.204419937316107,0.18487999999999982,24165.731627326637,4467.760463260144,21931.851395696565,3.7503298240758913,14751.093859814815,2.436814737828865
female,95,0.33657597,0.231629454964508,0.20676000000000005,19697.971164066494,4072.7525178823894,17661.594905125297,3.4875476298899426,11717.126468185694,2.2406529460549915
female,96,0.345954333,0.259263078120596,0.22838000000000025,15625.218646184105,3568.4874344155296,13840.97492897634,3.266259429542059,9052.629679352609,2.0747991683177744
female,97,0.355679949,0.27216311679411,0.23826999999999965,12056.731211768576,2872.7573458280945,10620.352538854528,3.0850022414427563,6842.906089472729,1.938051082181002
female,98,0.365767348,0.314971052689452,0.27019000000000015,9183.973865940481,2481.41789883846,7943.2649165212515,2.893593847482383,5037.877973543832,1.799183569580936
female,99,0.376140835,0.341997472664051,0.2896500000000001,6702.555967102021,1941.3953358711008,5731.858299166471,2.7797493148660384,3575.8723324163147,1.713641328157844
female,100,0.386808523,0.369094606798514,1,4761.16063123092,4761.16063123092,12899.56705823665,2.7093324626818305,7909.904577100676,1.6613395744759192
